"station_id","name","lat","lon"
"172","N Veitch St & Key Blvd",38.893237,-77.086063
"173","Lee Hwy & N Adams St",38.89593,-77.089006
"174","15th St & N Scott St",38.89054,-77.08095
"175","Washington Blvd & 7th St N",38.88081,-77.090792
"176","Ballston Metro / Stuart St & 9th St N",38.881044,-77.111768
"177","Fairfax Dr & N Randolph St",38.882629,-77.109366
"178","Jefferson Memorial",38.879819,-77.037413
"179","Good Hope Rd & 14th St SE",38.866611,-76.985238
"180","Glebe Rd & 11th St N",38.883921,-77.116817
"181","Wilson Blvd & N Quincy St",38.880012,-77.107854
"182","GMU / Fairfax Dr & Kenmore St",38.884616,-77.10108
"183","Gallaudet / 8th St & Florida Ave NE",38.90509,-76.9941
"185","20th & L St NW",38.903584,-77.044789
"186","12th & L St NW",38.903819,-77.0284
"187","21st St & Pennsylvania Ave NW",38.901539,-77.046564
"188","19th & K St NW",38.902204,-77.04337
"189","Prince St & Union St",38.803124,-77.040363
"190","Market Square / King St & Royal St",38.804718,-77.043363
"191","Saint Asaph St & Pendleton  St",38.810743,-77.044664
"192","King St & Patrick St",38.805317,-77.049883
"193","15th & K St NW",38.902,-77.03353
"194","Commerce St & Fayette St",38.805648,-77.05293
"195","Henry St & Pendleton St",38.811456,-77.050276
"196","Braddock Rd Metro",38.814577,-77.052808
"197","King St Metro South",38.8057628487349,-77.060626745224
"198","24th & N St NW",38.9066,-77.05152
"199","10th & E St NW",38.895914,-77.026064
"200","22nd & I St NW / Foggy Bottom",38.90088,-77.048911
"201","Utah St & 11th St N ",38.883669,-77.113905
"202","Barton St & 10th St N",38.884961,-77.08777
"203","Arlington Blvd & N Queen St",38.889365,-77.077294
"204","Lincoln Memorial",38.888251,-77.049426
"206","20th St & Virginia Ave NW",38.894722,-77.045128
"207","5th St & Massachusetts Ave NW",38.90093,-77.018677
"208","39th & Veazey St NW",38.943837,-77.077078
"209","Fessenden St & Wisconsin Ave NW",38.954812,-77.082426
"210","3rd & M St NE",38.9054697149433,-77.0021304488182
"211","Columbia Pike & S Courthouse Rd",38.863833,-77.080319
"212","Walter Reed Dr & 16th St S",38.857803,-77.086733
"213","28th St & S Meade St",38.846222,-77.069275
"214","18th St & Wyoming Ave NW",38.918809,-77.041571
"215","5th & Kennedy St NW",38.956555547722,-77.0198142528534
"216","Georgia Ave & Emerson St NW",38.949662,-77.027333
"217","14th & Upshur St NW",38.9424753556028,-77.0326781272888
"218","14th St & Colorado Ave NW",38.956432,-77.032947
"219","Troy St & 26th St S",38.847977,-77.075104
